month,legs,full3_auditlog,full3_legstatus,full3_auditlog_pct,full3_legstatus_pct
2026-02,1646,1279,1205,77.7,73.21
2026-03,2603,1876,1876,72.07,72.07
2026-04,2720,1999,1999,73.49,73.49
2026-05,2858,2283,2283,79.88,79.88
2026-06,2731,2367,2367,86.67,86.67
2026-07,2714,2264,2264,83.42,83.42
2026-08,2280,2007,2007,88.03,88.03
