month,legs_all,legs_live,legs_live_excl_analytics_flag
2025-09,464,464,464
2025-10,740,739,739
2025-11,1004,1004,1004
2025-12,1164,1164,1164
2026-01,1480,1462,1462
2026-02,1999,1972,1947
2026-03,2707,2603,2597
2026-04,2808,2720,2720
2026-05,2914,2858,2858
2026-06,2799,2731,2731
2026-07,2224,2177,2177
2026-08,847,836,836
