gap_minutes
-468.6
-434.2
-412.6
-351.1
-89.5
-86.9
29.5
33.4
45.1
47.8
48.0
63.9
65.8
67.8
68.1
70.7
70.9
72.2
80.4
88.2
91.0
93.8
109.9
112.1
120.1
124.7
128.7
129.9
130.7
131.1
132.9
133.4
136.2
137.6
137.7
139.0
140.1
142.4
144.6
146.4
153.5
164.2
171.6
172.6
188.7
207.2
208.4
209.5
212.5
231.5
253.8
277.8
286.6
301.5
331.1
339.6
412.6
423.7
548.6
745.0
