window,first_day,last_day,active_days,tasks,tasks_per_active_day,legs_flagged,legs_in_span,pct_legs_flagged,open_min_p50,open_min_p75,pct_filed_on_pickup_day,resolved_base,pct_moved,pct_retimed,pct_no_move,pct_hand,pct_cancelled,pct_wasted_look,escalations
2026-03,2026-03-15,2026-03-31,17,245,14.4,214,1480,14.5,766.6,4898.1,96.7,245,15.1,9.0,74.7,0.0,0.8,74.7,0
2026-04,2026-04-01,2026-04-30,30,452,15.1,338,2720,12.4,90.7,213.8,97.1,452,32.3,3.8,61.5,1.1,0.2,62.6,0
2026-05,2026-05-01,2026-05-31,31,405,13.1,301,2858,10.5,60.8,194.5,99.8,405,26.4,1.7,57.8,12.3,1.2,70.1,0
2026-06,2026-06-01,2026-06-30,30,1110,37.0,646,2731,23.7,83.9,197.3,99.6,992,23.0,1.5,54.8,18.2,0.0,73.1,118
2026-07,2026-07-01,2026-07-31,31,1157,37.3,698,2714,25.7,62.1,208.1,97.9,1050,23.8,1.2,46.5,23.0,5.5,69.4,107
2026-08,2026-08-01,2026-08-21,21,1489,70.9,814,2402,33.9,68.5,276.2,94.0,1394,24.5,4.8,40.0,26.0,4.7,65.9,95
