date,id,episode,episodes_on_id,kind,severity,basis,severity_end,basis_end,first_tick,last_tick,n_ticks,lifetime_min,impact_leg,impact_leg_first,n_legs,self_scored,has_plans,late_min,quality,scorable,late_15,impact_trip,mut_kind,mut_severity,mut_basis,mut_impact_leg,mut_n_legs,mut_impact_at
2026-08-18,late_cascade:31721,1,1,late_cascade,critical,clock_only,critical,clock_only,08:12,08:12,1,0,34465,34465,2,0,1,-13.3,ok,1,0,other,0,0,0,0,0,0
2026-08-18,overlap:31721:34465,1,1,overlap,critical,recorded_pickup,warning,recorded_pickup,08:15,09:42,30,87,34465,34465,2,0,1,-13.3,ok,1,0,other,0,1,0,0,0,1
2026-08-18,overlap:33123:32147,1,1,overlap,critical,clock_only,critical,clock_only,09:03,09:48,16,45,32147,32147,2,0,1,-13.4,ok,1,0,arrival,0,0,0,0,0,0
2026-08-18,unassigned:35174,1,1,unassigned,warning,clock_only,warning,clock_only,09:03,09:12,4,9,35174,35174,1,1,0,749.2,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,late_cascade:20408,1,1,late_cascade,critical,clock_only,critical,clock_only,09:06,09:30,9,24,21285,20564,3,0,1,,none,0,,arrival,0,0,0,1,1,0
2026-08-18,overlap:23995:33353,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,09:39,09:57,7,18,33353,33353,2,0,1,6.4,ok,1,0,return,0,0,0,0,0,0
2026-08-18,flight_change:32147,1,1,flight_change,critical,flight,critical,flight,09:51,09:57,3,6,33123,33123,2,0,1,-10.2,ok,1,0,return,0,0,0,0,0,0
2026-08-18,overlap:29573:33123,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,10:00,10:06,3,6,33123,33123,2,0,1,-10.2,ok,1,0,return,0,0,0,0,0,0
2026-08-18,late_cascade:34465,1,1,late_cascade,critical,clock_only,critical,clock_only,10:06,10:18,5,12,27535,27535,2,0,1,24.3,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,overlap:33123:30444,1,1,overlap,critical,clock_only,critical,recorded_pickup,10:09,11:57,37,108,30444,30444,2,0,1,-5.0,ok,1,0,return,0,0,1,0,0,0
2026-08-18,overlap:24209:33773,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,10:12,10:33,8,21,33773,33773,2,0,0,24.4,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,overlap:33353:28633,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:12,10:57,16,45,28633,28633,2,0,1,10.9,ok,1,0,other,0,0,0,0,0,0
2026-08-18,overlap:34465:27535,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:21,10:33,5,12,27535,27535,2,0,1,24.3,ok,1,1,arrival,0,0,0,0,0,0
2026-08-18,flight_change:17124,1,1,flight_change,critical,flight,critical,flight,10:33,12:21,37,108,31276,31276,2,0,1,-56.8,ok,1,0,return,0,0,0,0,0,0
2026-08-18,late_cascade:20564,1,1,late_cascade,critical,clock_only,watch,clock_only,10:33,11:27,19,54,20564,20564,1,1,1,,none,0,,cruise,0,1,0,1,1,1
2026-08-18,overrun:34465,1,1,overrun,critical,recorded_pickup,critical,recorded_pickup,10:33,11:03,11,30,33773,27535,2,0,1,24.4,ok,1,1,arrival,0,0,0,1,0,1
