cohort,airport,n,p25,p50,p75,p90,p95
ALL drivers,both,4553,30.95,38.766666666666666,54.38333333333333,76.56666666666666,91.16666666666667
in-house trustworthy,both,2870,29.983333333333334,36.96666666666667,46.733333333333334,64.46666666666667,78.36666666666666
GOLD cohort,both,2443,29.916666666666668,36.766666666666666,46.55,64.46666666666667,76.5
in-house trustworthy,MCO Terminal,2743,30.1,37.083333333333336,46.8,63.95,77.2
in-house trustworthy,SFB Terminal,127,27.75,34.0,44.35,88.46666666666667,99.78333333333333
GOLD cohort,MCO Terminal,2341,29.966666666666665,36.88333333333333,46.61666666666667,64.2,75.58333333333333
GOLD cohort,SFB Terminal,102,27.75,34.0,43.833333333333336,87.63333333333334,96.98333333333333
