month,n,p50,p75,p90
2026-02,263,39.516666666666666,48.53333333333333,64.2
2026-03,474,37.65,46.8,60.3
2026-04,616,36.8,47.06666666666667,59.95
2026-05,655,35.96666666666667,46.36666666666667,67.28333333333333
2026-06,639,36.05,45.8,69.98333333333333
2026-07,223,36.96666666666667,46.3,64.45
