kind,lead_p50,lead_p75,tail_p50,tail_p75
ARRIVAL,20.61312888333333,47.81911409166667,75.65386189166666,90.44252561249999
DEPARTURE,36.161420449999994,54.59393349583333,34.84080410833334,43.825629375000005
OTHER,39.54324031666667,62.08678956666667,53.605246566666665,76.62005098333333
