window,start,end,days,legs,legs_day,inhouse,inhouse_day,inhouse_share_pct,farmed,farmed_day,unassigned,pairs_day,hard_day,tight_day,overlap_day,driver_days,drivers_day,over_soft,over_soft_day,over_hard,over_hard_day,max_span_h,legs_per_driver,cv_mean,maxmin_mean,vehicle_days,shared_vehicle_days,dates_with_share
CURRENT,2026-07-24,2026-08-20,28,3023,107.96,2458,87.79,81.3,565,20.18,0,72.07,11.39,9.64,4.75,433,15.46,112,4.0,61,2.18,23.64,5.67,0.295,6.18,389,32,20
PRIOR,2026-03-19,2026-07-23,127,11477,90.37,9314,73.34,81.2,2159,17.0,4,60.22,7.87,9.28,3.24,1644,12.94,367,2.89,158,1.24,24.05,5.65,0.289,5.8,1517,86,57
