arm,legs,base_pay_total,gratuity_total,additional_total,pay_total,median_pay_per_leg,mean_pay_per_leg
inhouse,10629,291332.49,108373.9,7977.5,407683.89,25.0,38.36
affiliate,2859,277101.99,27864.64,1877.5,306844.13,93.0,107.33
