dow_idx,dow,hour,assigned_legs,farmed_legs,farmout_share_pct,assigned_legs_per_week
5,Sat,22,30,8,26.67,1.346
5,Sat,23,18,7,38.89,0.808
6,Sun,0,3,1,33.33,0.135
6,Sun,1,2,2,100.0,0.09
6,Sun,2,2,0,0.0,0.09
6,Sun,3,20,2,10.0,0.897
6,Sun,4,47,2,4.26,2.109
6,Sun,5,59,3,5.08,2.647
6,Sun,6,100,3,3.0,4.487
6,Sun,7,145,22,15.17,6.506
6,Sun,8,263,98,37.26,11.801
6,Sun,9,395,176,44.56,17.724
6,Sun,10,254,117,46.06,11.397
6,Sun,11,234,77,32.91,10.5
6,Sun,12,172,54,31.4,7.718
6,Sun,13,205,47,22.93,9.199
6,Sun,14,170,43,25.29,7.628
6,Sun,15,136,23,16.91,6.103
6,Sun,16,114,16,14.04,5.115
6,Sun,17,128,18,14.06,5.744
6,Sun,18,77,11,14.29,3.455
6,Sun,19,45,4,8.89,2.019
6,Sun,20,29,6,20.69,1.301
6,Sun,21,19,3,15.79,0.853
6,Sun,22,17,8,47.06,0.763
6,Sun,23,24,7,29.17,1.077
