month,eligible_legs,confirmed,on-the-way,on-location,picked-up,completed,full_ladder
2026-02,1545,1467,1271,1237,1334,1537,1135
2026-03,2603,2495,1949,1998,2113,2581,1818
2026-04,2720,2582,2066,2085,2207,2567,1948
2026-05,2858,2732,2337,2362,2419,2689,2245
2026-06,2731,2637,2423,2405,2438,2594,2330
2026-07a(1-11),969,950,826,799,820,900,763
2026-07b(12-31),1208,74,1,1,0,0,0
2026-08(1-21),836,3,1,0,1,0,0
