aug_date,K_days_past_freeze,observed_live,june_same_dow_mean,june_survivors_at_K,observed_over_predicted
2026-08-01,21,92,131.8,72.8,1.26
2026-08-08,28,70,131.8,61.2,1.14
2026-08-15,35,60,131.8,52.8,1.14
2026-08-21,41,28,107.2,25.8,1.09
