pickup_text,dropoff_text,drive_minutes,distance_text,status,pickup_bucket,dropoff_bucket
"Disney’s Boardwalk, Epcot Resorts Boulevard, Kissimmee, FL, USA",Conrad Orlando at Evermore,18,5.7 mi,ok,Disney Resort,Disney Resort
Disney's All-Star Music Resort,Conrad Orlando at Evermore,21,9.9 mi,ok,Disney Resort,Disney Resort
"Disney's Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA","Disney's Coronado Springs Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",14,5.0 mi,ok,Disney Resort,Disney Resort
"Disney's Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA","Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",15,3.9 mi,ok,Disney Resort,Disney Resort
Disney's Art of Animation Resort,"Disney's Port Orleans Resort - Riverside, Riverside Drive, Lake Buena Vista, FL, USA",12,3.4 mi,ok,Disney Resort,Disney Resort
Disney's Art of Animation Resort,Disney's Coronado Springs Resort,11,2.8 mi,ok,Disney Resort,Disney Resort
Disney's Wilderness Lodge,"Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA",15,5.8 mi,ok,Disney Resort,Disney Resort
Disney's Wilderness Lodge,Disney's Old Key West Resort,14,4.9 mi,ok,Disney Resort,Disney Resort
"Disney's Old Key West Resort, North Cove Road, Lake Buena Vista, FL, USA",Hilton Orlando Lake Buena Vista - Disney Springs Area,6,2.1 mi,ok,Disney Resort,Disney Resort
"Disney Cruise Line, Port Canaveral Terminals, Charles M Rowland Drive, Port Canaveral, FL, USA",Port Canaveral - Royal Caribbean Star of the Seas,6,2.8 mi,ok,Port Canaveral Area,Port Canaveral Area
"Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA","Disney's Grand Floridian Resort & Spa, Floridian Way, Lake Buena Vista, FL, USA",15,5.4 mi,ok,Disney Resort,Disney Resort
Magic Kingdom Park,"Disney's Grand Floridian Resort & Spa, Floridian Way, Lake Buena Vista, FL, USA",11,2.9 mi,ok,Disney Resort,Disney Resort
"Disney Cruise Line, Port Canaveral Terminals, Charles M Rowland Drive, Port Canaveral, FL, USA","Royal Caribbean Port Canaveral, Discovery Road, Port Canaveral, Cape Canaveral, FL, USA",6,2.8 mi,ok,Port Canaveral Area,Port Canaveral Area
Port Canaveral - Caribbean Princess,Port Canaveral - Royal Caribbean Star of the Seas,1,0.5 mi,ok,Port Canaveral Area,Port Canaveral Area
"Disney's Port Orleans Resort - French Quarter, Orleans Drive, Lake Buena Vista, FL, USA",Holiday Inn Orlando-Disney Springs® Area by IHG,9,2.7 mi,ok,Disney Resort,Disney Resort
Magic Kingdom Park,Holiday Inn Orlando-Disney Springs® Area by IHG,15,7.8 mi,ok,Disney Resort,Disney Resort
Port Canaveral - Caribbean Princess,"Royal Caribbean Port Canaveral, Discovery Road, Port Canaveral, Cape Canaveral, FL, USA",1,0.5 mi,ok,Port Canaveral Area,Port Canaveral Area
Port Canaveral - Royal Caribbean Star of the Seas,"Disney Cruise Line, Port Canaveral Terminals, Charles M Rowland Drive, Port Canaveral, FL, USA",6,2.7 mi,ok,Port Canaveral Area,Port Canaveral Area
Port Canaveral - Royal Caribbean Star of the Seas,"Royal Caribbean Port Canaveral, Discovery Road, Port Canaveral, Cape Canaveral, FL, USA",,,failed,Port Canaveral Area,Port Canaveral Area
Port Canaveral - Royal Caribbean Star of the Seas,Port Canaveral - MSC Seashore,6,2.6 mi,ok,Port Canaveral Area,Port Canaveral Area
Port Canaveral - Royal Caribbean Star of the Seas,Port Canaveral - Norwegian Prima,1,0.5 mi,ok,Port Canaveral Area,Port Canaveral Area
Disney's Wilderness Lodge,"Kissimmee Amtrak, 111 E Dakin Ave, Kissimmee, FL 347457231",36,18.0 mi,ok,Disney Resort,Residential
"Disney’s Boardwalk, Epcot Resorts Boulevard, Kissimmee, FL, USA","Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",9,2.0 mi,ok,Disney Resort,Disney Resort
"Disney’s Boardwalk, Epcot Resorts Boulevard, Kissimmee, FL, USA",Disney's Pop Century Resort,9,2.0 mi,ok,Disney Resort,Disney Resort
"Disney’s Boardwalk, Epcot Resorts Boulevard, Kissimmee, FL, USA","Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA",9,4.3 mi,ok,Disney Resort,Disney Resort
