trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
arrival,SFB Terminal,Disney Resort,midday,weekend,12,117,136,2026-07-31 20:25:26
return,Universal Resort,MCO Terminal,early_morning,weekend,12,23,24,2026-07-31 20:25:24
other,Airport Hotel,Disney Resort,morning_rush,weekday,12,32,38,2026-07-31 20:25:24
arrival,MCO Terminal,Disney Resort,midday,holiday,11,,,2026-02-10 22:31:26
other,Universal Resort,Disney Resort,afternoon,weekday,11,32,35,2026-07-31 20:25:25
arrival,SFB Terminal,Disney Resort,night,weekday,11,108,,2026-07-31 20:25:27
return,Other Hotel,MCO Terminal,morning_rush,weekend,11,29,,2026-05-23 18:33:32
other,Disney Resort,Universal Resort,midday,weekday,11,33,39,2026-07-31 20:25:24
cruise,Port Canaveral Area,Airport Hotel,morning_rush,weekend,11,48,54,2026-07-31 20:25:25
cruise,Universal Resort,Port Canaveral Area,midday,weekday,10,68,72,2026-07-31 20:25:26
cruise,Airport Hotel,Port Canaveral Area,morning_rush,weekend,10,56,,2026-07-31 20:25:24
return,Disney Resort,SFB Terminal,morning_rush,weekend,10,61,65,2026-07-31 20:25:25
other,Airport Hotel,Disney Resort,morning_rush,weekend,10,39,49,2026-07-31 20:25:24
arrival,SFB Terminal,Disney Resort,afternoon,weekend,9,119,,2026-07-31 20:25:26
cruise,MCO Terminal,Port Canaveral Area,evening,weekend,9,54,,2026-07-31 20:25:25
return,Universal Resort,MCO Terminal,midday,weekend,9,25,,2026-07-31 20:25:25
arrival,MCO Terminal,Disney Resort,afternoon,holiday,9,,,2026-02-10 22:31:26
arrival,SFB Terminal,Disney Resort,evening,weekend,8,133,,2026-07-31 20:25:26
arrival,MCO Terminal,Other Hotel,evening,weekday,8,90,,2026-07-31 20:25:27
cruise,Port Canaveral Area,Universal Resort,morning_rush,weekday,8,63,,2026-07-31 20:25:26
arrival,MCO Terminal,Universal Resort,evening,weekend,8,84,,2026-07-31 20:25:26
cruise,Disney Resort,Port Canaveral Area,morning_rush,weekend,8,73,,2026-07-31 20:25:24
return,Universal Resort,MCO Terminal,afternoon,weekend,8,25,,2026-07-31 20:25:24
other,MCO Terminal,Disney Resort,morning_rush,weekend,8,34,,2026-05-23 18:33:37
cruise,Disney Resort,Port Canaveral Area,morning_rush,weekday,7,75,,2026-07-31 20:25:24
return,Disney Resort,MCO Terminal,early_morning,holiday,7,,,2026-02-10 22:31:25
other,Disney Resort,Other,morning_rush,weekday,7,,,2026-05-23 18:33:37
arrival,MCO Terminal,Universal Resort,morning_rush,weekend,7,73,,2026-07-31 20:25:25
cruise,Port Canaveral Area,MCO Terminal,midday,weekend,7,48,,2026-07-31 20:25:26
other,Universal Resort,Disney Resort,morning_rush,weekday,7,25,,2026-07-31 20:25:24
