trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
cruise,Other Hotel,Port Canaveral Area,morning_rush,weekday,1,,,2026-07-31 20:25:27
return,Universal Resort,MCO Terminal,night,weekday,1,,,2026-02-16 00:34:26
other,MCO Terminal,Disney Resort,morning_rush,weekday,1,,,2026-07-31 20:25:28
other,MCO Terminal,Disney Resort,midday,weekday,1,,,2026-07-31 20:25:27
other,Universal Resort,Other,midday,weekend,1,,,2026-02-16 00:34:26
other,Universal Resort,Residential,morning_rush,weekday,1,,,2026-07-31 20:25:28
cruise,Disney Resort,Port Canaveral Area,evening,weekday,1,,,2026-05-23 18:33:34
other,Other,Disney Resort,night,weekday,1,,,2026-07-31 20:25:29
return,Residential,MCO Terminal,evening,weekend,1,,,2026-02-16 00:34:26
arrival,SFB Terminal,Universal Resort,midday,weekend,1,,,2026-02-16 00:34:26
other,Universal Resort,Residential,afternoon,weekday,1,,,2026-05-23 18:33:41
other,SFB Terminal,Disney Resort,evening,weekend,1,,,2026-05-23 18:33:34
arrival,SFB Terminal,Other,morning_rush,weekend,1,,,2026-05-23 18:33:34
cruise,SFB Terminal,Port Canaveral Area,midday,weekend,1,,,2026-02-16 00:34:27
arrival,MCO Terminal,Port Canaveral Area,midday,weekend,1,,,2026-07-31 20:25:26
other,Universal Resort,Airport Hotel,evening,weekday,1,,,2026-05-23 18:33:34
arrival,MCO Terminal,Port Canaveral Area,night,weekday,1,,,2026-07-31 20:25:28
cruise,Residential,Port Canaveral Area,morning_rush,weekday,1,,,2026-05-23 18:33:34
cruise,Port Canaveral Area,SFB Terminal,morning_rush,weekday,1,,,2026-07-31 20:25:25
other,Other Hotel,SFB Terminal,midday,weekend,1,,,2026-02-16 00:34:27
cruise,Port Canaveral Area,Universal Resort,afternoon,weekday,1,,,2026-02-16 00:34:27
other,Disney Resort,Disney Resort,afternoon,weekday,1,,,2026-05-23 18:33:35
arrival,SFB Terminal,Port Canaveral Area,midday,weekday,1,,,2026-05-23 18:33:35
arrival,MCO Terminal,Other,afternoon,weekend,1,,,2026-07-31 20:25:27
other,Other,Disney Resort,morning_rush,weekend,1,,,2026-02-16 00:34:27
other,Disney Resort,Other,afternoon,weekend,1,,,2026-07-31 20:25:28
cruise,Port Canaveral Area,SFB Terminal,midday,weekday,1,,,2026-02-16 00:34:27
other,SFB Terminal,Other Hotel,midday,weekday,1,,,2026-05-23 18:33:35
arrival,MCO Terminal,Airport Hotel,night,weekday,1,,,2026-02-16 00:34:27
cruise,MCO Terminal,Port Canaveral Area,early_morning,weekday,1,,,2026-05-23 18:33:35
other,Disney Resort,Other,midday,weekend,1,,,2026-07-31 20:25:28
other,Other,Disney Resort,midday,weekend,1,,,2026-07-31 20:25:28
other,Universal Resort,Disney Resort,afternoon,weekend,1,,,2026-02-16 00:34:28
arrival,SFB Terminal,Other Hotel,evening,weekend,1,,,2026-05-23 18:33:36
other,Other,Disney Resort,midday,weekday,1,,,2026-07-31 20:25:28
other,Residential,Other Hotel,afternoon,weekday,1,,,2026-05-23 18:33:37
cruise,Disney Resort,Port Canaveral Area,afternoon,weekday,1,,,2026-07-31 20:25:27
return,Disney Resort,SFB Terminal,evening,weekend,1,,,2026-05-23 18:33:37
cruise,Port Canaveral Area,Port Canaveral Area,midday,weekday,1,,,2026-02-16 00:34:28
other,Other Hotel,Residential,evening,weekday,1,,,2026-05-23 18:33:37
other,Disney Resort,Disney Resort,night,weekend,1,,,2026-05-23 18:33:37
other,Residential,Other,early_morning,weekend,1,,,2026-05-23 18:33:37
arrival,MCO Terminal,MCO Terminal,midday,weekend,1,,,2026-02-16 00:34:30
cruise,Other Hotel,Port Canaveral Area,afternoon,weekend,1,,,2026-02-16 00:34:30
return,MCO Terminal,MCO Terminal,midday,weekday,1,,,2026-05-23 18:33:37
other,Airport Hotel,Residential,evening,weekday,1,,,2026-05-23 18:33:37
other,Residential,Airport Hotel,night,weekday,1,,,2026-05-23 18:33:37
other,MCO Terminal,Disney Resort,afternoon,weekend,1,,,2026-05-23 18:33:38
other,Universal Resort,Other,afternoon,weekday,1,,,2026-02-16 06:09:28
other,Other,Universal Resort,night,weekday,1,,,2026-07-31 20:25:28
other,Disney Resort,MCO Terminal,afternoon,weekday,1,,,2026-05-23 18:33:38
other,Disney Resort,SFB Terminal,midday,weekday,1,,,2026-02-16 06:09:29
arrival,SFB Terminal,Other Hotel,morning_rush,weekend,1,,,2026-05-23 18:33:38
arrival,Residential,Disney Resort,midday,weekend,1,,,2026-05-23 18:33:38
return,Other,MCO Terminal,night,weekday,1,,,2026-05-23 18:33:38
return,Airport Hotel,MCO Terminal,early_morning,weekday,1,,,2026-05-23 18:33:38
other,Disney Resort,Residential,evening,weekday,1,,,2026-07-31 20:25:27
return,Disney Resort,Residential,early_morning,weekend,1,,,2026-05-23 18:33:38
other,Disney Resort,Disney Resort,afternoon,weekend,1,,,2026-05-23 18:33:38
other,Other Hotel,Universal Resort,morning_rush,weekday,1,,,2026-05-23 18:33:38
arrival,Residential,Disney Resort,afternoon,weekday,1,,,2026-05-23 18:33:38
return,Universal Resort,SFB Terminal,afternoon,weekend,1,,,2026-05-23 18:33:38
return,Disney Resort,Residential,afternoon,weekend,1,,,2026-05-23 18:33:38
arrival,SFB Terminal,Other Hotel,night,weekday,1,,,2026-05-23 18:33:38
arrival,MCO Terminal,Other,early_morning,weekend,1,,,2026-05-23 18:33:38
return,SFB Terminal,SFB Terminal,early_morning,weekday,1,,,2026-05-23 18:33:38
arrival,SFB Terminal,Port Canaveral Area,night,weekday,1,,,2026-07-31 20:25:27
other,Universal Resort,Other,morning_rush,weekday,1,,,2026-07-31 20:25:28
other,Other,Universal Resort,evening,weekday,1,,,2026-05-23 18:33:39
return,Other,MCO Terminal,early_morning,weekend,1,,,2026-05-23 18:33:39
return,Other,MCO Terminal,morning_rush,weekend,1,,,2026-05-23 18:33:39
return,Other,MCO Terminal,afternoon,weekday,1,,,2026-07-31 20:25:29
other,Universal Resort,Residential,night,weekday,1,,,2026-07-31 20:25:27
return,Other Hotel,SFB Terminal,morning_rush,weekday,1,,,2026-05-23 18:33:40
other,Other Hotel,Disney Resort,afternoon,weekday,1,,,2026-05-23 18:33:40
return,MCO Terminal,MCO Terminal,afternoon,weekday,1,,,2026-05-23 18:33:40
other,Disney Resort,Residential,early_morning,weekend,1,,,2026-05-23 18:33:40
other,Disney Resort,Disney Resort,early_morning,weekend,1,,,2026-05-23 18:33:40
cruise,Residential,Port Canaveral Area,afternoon,weekend,1,,,2026-07-31 20:25:27
other,MCO Terminal,MCO Terminal,afternoon,weekday,1,,,2026-05-23 18:33:40
return,Other Hotel,MCO Terminal,night,weekday,1,,,2026-07-31 20:25:27
cruise,Port Canaveral Area,Port Canaveral Area,midday,weekend,1,,,2026-07-31 20:25:27
return,Universal Resort,SFB Terminal,midday,weekend,1,,,2026-07-31 20:25:27
return,Other Hotel,MCO Terminal,evening,weekend,1,,,2026-05-23 18:33:40
other,Disney Resort,Residential,early_morning,weekday,1,,,2026-05-23 18:33:40
other,Other Hotel,Universal Resort,midday,weekday,1,,,2026-05-23 18:33:41
return,Other Hotel,MCO Terminal,evening,weekday,1,,,2026-07-31 20:25:29
arrival,MCO Terminal,Other,morning_rush,weekend,1,,,2026-07-31 20:25:27
return,Other,MCO Terminal,afternoon,weekend,1,,,2026-07-31 20:25:27
other,Other,Other,morning_rush,weekday,1,,,2026-05-23 18:33:41
other,Other,Other,afternoon,weekday,1,,,2026-05-23 18:33:41
cruise,Port Canaveral Area,MCO Terminal,afternoon,weekday,1,,,2026-07-31 20:25:27
other,Disney Resort,Other Hotel,night,weekend,1,,,2026-05-23 18:33:41
other,SFB Terminal,Disney Resort,evening,weekday,1,,,2026-05-23 18:33:41
arrival,MCO Terminal,Other,midday,weekend,1,,,2026-07-31 20:25:26
arrival,SFB Terminal,Other Hotel,midday,weekend,1,,,2026-07-31 20:25:27
other,Residential,Other,afternoon,weekday,1,,,2026-05-23 18:33:41
other,Residential,Universal Resort,midday,weekday,1,,,2026-07-31 20:25:28
arrival,SFB Terminal,Port Canaveral Area,afternoon,weekday,1,,,2026-07-31 20:25:28
return,Other Hotel,SFB Terminal,midday,weekday,1,,,2026-05-23 18:33:41
other,Disney Resort,Other,early_morning,weekend,1,,,2026-05-23 18:33:41
cruise,Other,Port Canaveral Area,midday,weekend,1,,,2026-05-23 18:33:41
other,Disney Resort,Other Hotel,evening,weekend,1,,,2026-05-23 18:33:41
other,Residential,Residential,midday,weekday,1,,,2026-05-23 18:33:41
arrival,MCO Terminal,Port Canaveral Area,night,weekend,1,,,2026-07-31 20:25:28
return,Residential,MCO Terminal,night,weekday,1,,,2026-07-31 20:25:28
arrival,MCO Terminal,Residential,early_morning,weekend,1,,,2026-07-31 20:25:28
cruise,Port Canaveral Area,Disney Resort,early_morning,weekend,1,,,2026-07-31 20:25:28
return,Disney Resort,Residential,morning_rush,weekend,1,,,2026-05-23 18:33:41
other,Universal Resort,Residential,evening,weekday,1,,,2026-05-23 18:33:41
other,MCO Terminal,Disney Resort,afternoon,weekday,1,,,2026-05-23 18:33:41
other,Other,Universal Resort,afternoon,weekday,1,,,2026-07-31 20:25:28
return,Disney Resort,Other,afternoon,weekend,1,,,2026-07-31 20:25:24
arrival,Other,Disney Resort,midday,weekend,1,,,2026-07-31 20:25:27
return,Disney Resort,Other,early_morning,weekend,1,,,2026-07-31 20:25:27
return,Other Hotel,SFB Terminal,early_morning,weekday,1,,,2026-07-31 20:25:27
arrival,Other,Disney Resort,afternoon,weekday,1,,,2026-07-31 20:25:27
arrival,SFB Terminal,Universal Resort,night,weekday,1,,,2026-07-31 20:25:27
other,MCO Terminal,MCO Terminal,morning_rush,weekday,1,,,2026-07-31 20:25:27
other,Disney Resort,Universal Resort,early_morning,weekend,1,,,2026-07-31 20:25:27
other,Disney Resort,Universal Resort,night,weekend,1,,,2026-07-31 20:25:27
arrival,MCO Terminal,Airport Hotel,night,weekend,1,,,2026-07-31 20:25:28
other,Disney Resort,Port Canaveral Area,midday,weekday,1,,,2026-07-31 20:25:28
other,Universal Resort,Other Hotel,afternoon,weekday,1,,,2026-07-31 20:25:28
arrival,Other,Universal Resort,midday,weekday,1,,,2026-07-31 20:25:28
return,Universal Resort,SFB Terminal,early_morning,weekend,1,,,2026-07-31 20:25:24
return,Airport Hotel,SFB Terminal,midday,weekend,1,,,2026-07-31 20:25:28
cruise,Port Canaveral Area,Residential,morning_rush,weekend,1,,,2026-07-31 20:25:28
other,Other,Other Hotel,evening,weekend,1,,,2026-07-31 20:25:28
cruise,SFB Terminal,Port Canaveral Area,afternoon,weekend,1,,,2026-07-31 20:25:28
arrival,SFB Terminal,Disney Resort,early_morning,weekend,1,,,2026-07-31 20:25:28
arrival,MCO Terminal,Airport Hotel,afternoon,weekend,1,,,2026-07-31 20:25:28
arrival,SFB Terminal,Residential,midday,weekday,1,,,2026-07-31 20:25:28
other,Disney Resort,MCO Terminal,midday,weekend,1,,,2026-07-31 20:25:29
arrival,SFB Terminal,Other Hotel,afternoon,weekday,1,,,2026-07-31 20:25:29
